Semester	Batch	Branch	Category	Course Code	Course Name	Credits	LTPC	Slots	Total IC	Total DC	Total IC+DC
5	B24	GE-MECH	DC	EE231	Measurement and Instrumentation	3	3-0-0-3	F & L3	0	17	17
5	B24	GE-COMM	DC	EE231	Measurement and Instrumentation	3	3-0-0-3	F & L3	0	7	7
5	B24	GE-COMM	DC	EE314	Digital Signal Processing	4	4-0-0-4	G & L1	0	7	7
5	B24	GE-OPEN	DC	ME305	Design of Machine Elements	4	4-0-0-4	A	0	10	10
5	B24	GE-OPEN	DC	DS201	Data Handling and Visualisation	3	3-0-0-3		0	10	10
5	B24	GE-OPEN	DC	EE231	Measurement and Instrumentation	3	3-0-0-3	F & L3	0	10	10
5	B24	MEVLSI	DC	VL-401	RTL Design and Verification	3	3-0-0-3	G & L3	0	18	18
5	B24	MEVLSI	DC	VL-402	RF IC Design	3	3-0-0-3	B	0	18	18
5	B24	MEVLSI	DC	VL-403	CMOS Digital IC Design	4	4-0-0-4	F & L2	0	18	18
5	B24	MEVLSI	DC	VL-404	CMOS Analog IC Design	4	4-0-0-4	C & L1	0	18	18
5	B24	MEVLSI	DC	VL-405	Design for Testability	4	4-0-0-4	H & L4	0	18	18
5	B24	BSCS	DC	CY512	Advanced Quantum Chemistry	3	3-0-0-3	D	0	12	12
5	B24	BSCS	DC	CY512P	Physical Chemistry Laboratory	3	3-0-0-3	L4,L5	0	12	12
5	B24	BSCS	DC	CY531	Organic Reactions and Mechanisms	3	3-0-0-3	B	0	12	12
5	B24	BSCS	DC	CY533P	Inorganic Chemistry Laboratory	3	3-0-0-3	L1,L2	0	12	12
7	B23	BSCS	DC	CY514	Chemical and Statistical Thermodynamics	3	3-0-0-3	C	0	6	6
7	B23	BSCS	DC	CY535	Introduction to Organometallic Chemistry	3	3-0-0-3	D	0	6	6
